dist,n,rep,prim_time,kruskal_time,prim_cost,kruskal_cost
uniform,100,0,0.0020830039998145367,0.002467629999955534,1.139028385151401,1.1390283851514007
uniform,100,1,0.002262220999909914,0.003134911000415741,1.0761945465375575,1.0761945465375575
uniform,100,2,0.0021636030000991013,0.002593697000065731,1.3703215827424742,1.3703215827424737
uniform,100,3,0.0025941860003513284,0.0031752810000398313,1.2589952136099138,1.2589952136099134
uniform,100,4,0.0021846949998689524,0.0025178470000355446,1.2167138083073716,1.2167138083073716
uniform,100,5,0.0023118089998206415,0.004101122000065516,1.241031354536201,1.241031354536201
uniform,100,6,0.002111569000135205,0.0022206640001058986,1.273361450489325,1.2733614504893254
uniform,100,7,0.00211876299999858,0.0037357730002440803,1.1290455446912833,1.1290455446912833
uniform,100,8,0.002068337000309839,0.002111360000071727,1.138125303620133,1.138125303620134
uniform,100,9,0.0019125859998894157,0.0020424949998414377,1.3676670220174167,1.3676670220174176
uniform,100,10,0.0018957540000883455,0.002017630999944231,1.2236368121063976,1.2236368121063972
uniform,100,11,0.00189652200015189,0.0020304810000197904,1.1671424694215413,1.1671424694215413
uniform,100,12,0.001912166999773035,0.002013857999827451,1.1445700677990587,1.1445700677990582
uniform,100,13,0.0019128650001221104,0.0020441700003175356,1.2616879879179335,1.2616879879179332
uniform,100,14,0.0018727749998106447,0.0021264449997033807,1.2267909012173877,1.2267909012173877
uniform,100,15,0.0019107699999949546,0.0020102260000385286,0.9480487211095253,0.9480487211095253
uniform,100,16,0.0018697720001910056,0.0020478729998103518,1.0714320410015166,1.0714320410015166
uniform,100,17,0.0019130749997202656,0.0020593270000972552,1.077319902272285,1.077319902272285
uniform,100,18,0.001936822000061511,0.002048850999926799,1.1683146968327485,1.168314696832749
uniform,100,19,0.0019266239996795775,0.0020207729999128787,1.352787417048257,1.352787417048257
uniform,100,20,0.0019156590001330187,0.0019978650002485665,1.1583612883188776,1.1583612883188779
uniform,100,21,0.0019046940001317125,0.0020178390000182844,1.2410885772129903,1.2410885772129903
uniform,100,22,0.001906997999867599,0.00254662300039854,0.9700783957744812,0.9700783957744812
uniform,100,23,0.0024355020000257355,0.0028391959999680694,1.4456492823704539,1.445649282370454
uniform,100,24,0.002051642999958858,0.003211809000276844,1.1184980511460303,1.1184980511460303
uniform,100,25,0.002585245999853214,0.0035029850000682927,1.0810193112662683,1.0810193112662683
uniform,100,26,0.0024473049998050556,0.0035490820000632084,1.054888181013383,1.0548881810133832
uniform,100,27,0.0025369139998474566,0.003205313999842474,1.1155292597967434,1.1155292597967432
uniform,100,28,0.0023456839999198564,0.004302200999973138,1.2067912951967599,1.20679129519676
uniform,100,29,0.002478734999840526,0.0036859739998362784,1.2850689183624482,1.2850689183624473
uniform,120,0,0.003407509999760805,0.00460490099976596,1.0722792983096978,1.0722792983096978
